game_id,game_no,date_text,tipoff,venue,team,opponent,home_away,team_score,opponent_score,result,player,pos,min,minutes_float,fg2m,fg2a,fg3m,fg3a,ftm,fta,off_reb,def_reb,tot_reb,ast,pf,st,to,bs,pts,missed_2pt,missed_3pt,missed_ft,fantasy_score
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,안혜지,G,35:02,35.0333,5,10,0,1,0,0,0,1,1,5,2,0,2,0,10,5,1,0,18.36
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,이소희,G,32:38,32.6333,1,4,1,5,1,1,1,6,7,5,4,2,2,0,6,3,4,0,21.56
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,박혜진,G,31:07,31.1167,1,5,1,3,2,2,2,9,11,3,3,5,2,2,7,4,2,0,29.48
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,김소니아,F,27:41,27.6833,4,8,1,1,3,4,2,4,6,3,1,1,3,0,14,4,0,1,24.12
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,변소정,F,24:48,24.8,3,8,0,0,0,0,0,2,2,3,2,0,0,0,6,5,0,0,13.7
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,김정은,F,24:41,24.6833,3,5,2,4,2,3,3,2,5,0,2,1,1,0,14,2,2,1,21.57
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,박성진,C,09:52,9.8667,1,2,0,0,0,0,1,1,2,0,0,0,1,0,2,1,0,0,4.47
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,심수현,G,05:18,5.3,2,3,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,0,5.33
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,김민아,G,04:08,4.1333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.03
G001,1,11/16(일),14:25,부산사직실내체육관,BNK썸,신한은행,home,65,54,W,이원정,G,03:23,3.3833,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1.85
G001,1,11/16(일),14:25,부산사직실내체육관,신한은행,BNK썸,away,54,65,L,신이슬,G,40:00,40.0,3,5,3,6,2,2,0,2,2,1,3,2,3,1,17,2,3,0,24.3
G001,1,11/16(일),14:25,부산사직실내체육관,신한은행,BNK썸,away,54,65,L,홍유순,F,40:00,40.0,6,9,0,1,2,2,4,0,4,3,3,4,2,1,14,3,1,0,32.6
