name,team_2025_26,position,games,minutes,2pmade,2pa,3pmade,3pa,ftm,fta,oreb,dreb,ast,stl,blk,to,pts
강유림,삼성생명,F,30,879:02:00,44,98,41,130,36,44,40,68,41,27,13,37,247
김단비,삼성생명,F,17,160:56:00,6,28,4,23,2,4,11,15,13,17,4,9,26
김아름,삼성생명,F,30,655:22:00,17,42,27,88,24,34,32,76,31,24,3,29,139
방지온,삼성생명,F,4,8:10,1,1,0,0,0,2,2,0,0,0,0,0,2
배혜윤,삼성생명,F,30,906:47:00,139,290,0,1,104,132,76,141,141,44,21,85,382
유하은,삼성생명,F,17,94:07:00,1,8,2,11,5,6,3,11,1,1,0,7,13
윤예빈,삼성생명,B,8,36:46:00,1,4,0,4,1,6,3,2,1,3,0,3,3
이예나,삼성생명,F,12,32:16:00,1,5,0,0,6,12,3,2,0,0,0,4,8
이주연,삼성생명,B,10,227:50:00,16,36,9,20,17,19,9,22,29,11,2,17,76
이해란,삼성생명,F,30,982:16:00,151,268,13,40,46,72,59,153,31,41,11,60,387
임규리,삼성생명,F,9,22:46,1,3,1,3,0,0,0,1,2,4,0,2,5
조수아,삼성생명,B,30,623:10:00,40,85,27,82,21,27,16,71,56,21,4,57,182
최예슬,삼성생명,F,25,190:28:00,14,34,2,11,5,12,12,24,6,11,0,13,39
히라노 미츠키,신한은행,B,28,534:12:00,28,74,15,66,11,13,11,51,58,25,2,52,112
강계리,우리은행,B,25,211:11:00,14,35,3,17,4,7,10,24,32,8,1,12,41
고나연,신한은행,F,11,60:54:00,3,7,1,7,3,4,2,9,4,2,0,2,12
김지영,신한은행,B,29,668:47:00,45,109,9,45,20,33,24,46,84,35,5,43,137
김진영,신한은행,F,12,288:36:00,30,78,7,21,10,24,23,46,20,7,1,13,91
김채은,신한은행,F,3,7:14,4,4,0,0,1,1,0,3,0,0,0,0,9
신이슬,신한은행,B,30,556:16:00,22,76,32,99,16,22,18,42,51,32,8,29,156
신지현,신한은행,B,30,862:45:00,60,146,30,111,49,58,19,75,134,27,11,74,259
이두나,신한은행,F,25,362:16:00,30,65,10,60,13,21,18,53,5,10,3,16,103
최이샘,신한은행,F,17,457:36:00,27,51,26,67,9,11,23,68,19,10,15,22,141
허유정,신한은행,B,10,59:27:00,1,5,4,16,4,4,2,6,6,2,0,5,18
홍유순,신한은행,F,29,763:07:00,95,175,3,14,36,47,81,85,41,26,9,36,235
김단비,우리은행,F,29,1041:36:00,200,478,27,121,131,175,92,224,105,60,44,93,612
김솔,우리은행,B,12,91:04:00,2,4,2,14,0,0,3,7,8,0,2,4,10
김예진,우리은행,F,24,421:41:00,5,13,17,48,10,13,18,39,10,14,2,16,71
박혜미,우리은행,F,22,315:49:00,6,27,12,51,1,2,12,43,8,4,1,12,49
변하정,우리은행,F,29,497:21:00,10,26,9,60,0,0,26,57,12,10,5,11,47
스나가와 나츠키,BNK썸,B,29,691:40:00,42,112,26,95,24,26,34,38,86,43,4,43,186
심성영,우리은행,B,28,499:52:00,17,50,28,108,20,26,13,30,27,12,2,27,138
오승인,우리은행,F,4,37:00:00,2,5,0,2,0,0,3,8,1,1,0,1,4
유승희,우리은행,B,1,5:04,0,0,0,2,0,0,0,0,0,1,1,0,0
이명관,우리은행,F,30,979:17:00,49,130,33,108,22,31,28,104,32,25,12,30,219
이민지,우리은행,B,21,333:28:00,29,70,23,70,22,31,11,27,11,12,1,28,149
편선우,우리은행,F,1,24:30:00,5,6,0,1,0,0,3,2,0,0,1,2,10
한엄지,우리은행,F,22,622:47:00,61,116,14,53,21,26,49,78,26,16,11,14,185
고서연,하나은행,B,17,322:07:00,7,24,20,77,4,11,13,23,28,11,0,16,78
김시온,하나은행,B,28,820:23:00,49,121,30,130,33,38,19,76,60,19,9,56,221
김정은,하나은행,F,27,793:34:00,75,161,24,107,29,39,27,158,66,30,20,40,251
박소희,하나은행,B,24,549:36:00,32,94,14,83,17,23,18,52,47,4,2,41,123
박진영,하나은행,F,29,482:19:00,25,86,10,40,14,20,16,38,35,8,3,34,94
양인영,하나은행,F,27,825:45:00,104,231,7,14,53,74,62,136,67,26,28,72,282
이다현,하나은행,F,9,40:59:00,2,3,0,6,0,0,2,7,1,1,1,1,4
정예림,하나은행,F,21,637:08:00,23,72,13,56,16,27,41,34,44,17,8,24,101
정현,하나은행,F,22,231:48:00,16,34,3,27,12,19,11,20,5,10,1,8,53
진안,하나은행,F,23,564:13:00,102,218,2,10,27,46,79,107,39,9,10,33,237
하지윤,하나은행,B,4,6:36,1,1,0,0,1,2,0,1,0,0,0,0,3
김도연,BNK썸,F,7,60:27:00,8,17,0,0,6,12,7,11,3,0,1,3,22
김민아,BNK썸,B,21,201:10:00,13,30,6,24,8,10,12,13,9,8,0,7,52
김보현,BNK썸,B,1,4:42,0,2,0,1,0,0,0,1,0,0,0,0,0
김소니아,BNK썸,F,29,1031:09:00,114,273,55,163,86,104,102,174,86,53,13,67,479
김정은,BNK썸,F,12,33:38:00,2,6,0,3,5,6,3,2,1,0,0,4,9
박다원,BNK썸,F,2,13:12,1,1,0,1,0,0,2,1,0,0,0,1,2
박성진,BNK썸,F,30,381:58:00,20,51,0,0,16,18,35,40,15,10,4,17,56
박혜진,BNK썸,B,21,717:38:00,51,120,21,90,32,40,48,128,63,27,16,26,197
변소정,BNK썸,F,28,405:11:00,33,78,1,15,8,13,25,36,5,13,8,11,77
심수현,BNK썸,B,30,488:45:00,62,165,7,36,23,41,23,47,36,9,3,25,168
안혜지,BNK썸,B,30,1054:21:00,70,197,45,165,25,42,35,74,167,29,3,53,300
이소희,BNK썸,B,18,571:59:00,45,124,32,83,33,37,13,50,27,18,1,23,219
이이지마 사키,하나은행,F,30,1013:37:00,72,145,38,112,31,39,59,99,44,49,12,27,289
최민주,BNK썸,F,7,20:29,2,5,0,3,0,0,1,4,0,0,0,3,4
최서연,BNK썸,B,5,24:10:00,2,7,0,1,1,2,2,0,0,0,0,2,5
강이슬,KB스타즈,F,30,1062:35:00,74,181,64,223,84,102,49,173,51,44,18,72,424
